eval/return/yrp54ccz,eval/return/8ijn9b1d,eval/return/7l4hzuv5,eval/return/jhd24ua7,eval/return/i91cq4vx,eval/return/r1njeml3,eval/return/9lpcpxmp,eval/return/3kbjkcq7,eval/return/53rner56,eval/return/7abx8o9g,step,wallclock
159035.34375,157076.203125,157320.59375,171359.734375,172438.0,159853.703125,156687.3125,164072.8125,164640.171875,151926.0625,2466568.0,0.734733819448948
159584.046875,157554.828125,157658.6875,171220.328125,170546.75,159067.390625,156611.15625,165402.09375,159091.671875,151889.171875,2483234.0,0.7396982371479274
159400.9375,159680.203125,157707.21875,171280.15625,172048.25,159126.8125,156570.03125,157681.84375,160774.34375,151196.265625,2499900.0,0.7446626548469067
159079.984375,156949.375,157564.515625,171283.671875,170581.828125,159401.515625,157055.65625,165555.8125,160636.265625,151376.484375,2516566.0,0.7496270725458861
158289.015625,157315.1875,156533.609375,164246.109375,172751.46875,159469.546875,153057.5,163427.296875,160136.3125,149952.109375,2533232.0,0.7545914902448655
158851.9375,156781.140625,157625.40625,169939.796875,172327.8125,159028.203125,156267.265625,164873.96875,163686.453125,151171.53125,2549898.0,0.7595559079438449
159419.328125,157341.90625,157489.703125,169551.421875,162184.203125,159329.203125,156711.296875,163047.09375,163971.328125,150850.796875,2566564.0,0.7645203256428242
158751.8125,157492.859375,157110.1875,153411.03125,172633.40625,159420.6875,157219.921875,165295.859375,164455.1875,151621.578125,2583230.0,0.7694847433418036
159584.25,157379.703125,157419.3125,171195.75,170873.734375,159871.65625,156121.421875,164669.3125,164155.140625,151215.71875,2599896.0,0.774449161040783
158792.421875,157297.703125,157766.15625,170800.53125,172620.03125,159380.890625,84817.2734375,163194.5625,164442.078125,149075.0,2616562.0,0.7794135787397624
159373.03125,157393.40625,157317.15625,169932.203125,172738.90625,159295.765625,83250.84375,164991.0625,164079.796875,151728.65625,2633228.0,0.7843779964387417
159369.078125,157274.375,145103.328125,171259.984375,167370.5,159439.359375,154353.5625,163906.71875,160411.21875,151994.171875,2649894.0,0.7893424141377211
158896.4375,157346.0,158165.59375,171408.734375,172727.453125,159497.140625,156297.546875,164662.1875,163900.6875,151808.375,2666560.0,0.7943068318367006
159336.390625,157404.65625,157766.53125,170646.5625,170716.265625,159637.515625,157209.53125,161292.1875,164013.375,151354.09375,2683226.0,0.79927124953568
159601.046875,157322.875,157955.15625,170583.515625,172595.0625,159861.109375,155406.03125,163097.671875,163150.921875,152831.5625,2699892.0,0.8042356672346593
158042.6875,157274.09375,157718.578125,170725.21875,172753.5,159419.734375,154349.796875,163812.640625,161323.96875,151072.15625,2716558.0,0.8092000849336387
159643.390625,157370.140625,157450.140625,171889.5625,172597.203125,159611.125,156011.859375,163376.0,163807.625,151618.15625,2733224.0,0.8141645026326181
157198.28125,157443.671875,157944.125,155947.5,172598.734375,159618.21875,156306.53125,164695.359375,163250.9375,155263.1875,2749890.0,0.8191289203315975
157569.96875,157390.921875,157630.0625,171433.734375,172752.140625,159549.1875,157476.140625,163887.90625,162624.46875,154958.9375,2766556.0,0.8240933380305768
159339.75,157844.484375,157824.359375,171377.96875,172416.109375,159448.46875,158340.78125,143379.53125,164374.03125,155207.84375,2783222.0,0.8290577557295562
157462.015625,157292.921875,157513.5625,171609.4375,172846.46875,159627.53125,157096.078125,164240.75,164226.671875,153585.4375,2799888.0,0.8340221734285356
159483.671875,157527.4375,157602.4375,170706.109375,171724.953125,159366.953125,156176.609375,164505.171875,164091.203125,155456.578125,2816554.0,0.838986591127515
158892.640625,153664.515625,158016.828125,171650.15625,167892.0625,159387.15625,157025.96875,164786.265625,163312.53125,155448.921875,2833220.0,0.8439510088264943
158999.625,157497.734375,158004.53125,171426.46875,170371.453125,159428.484375,155682.5625,158277.203125,159685.421875,153260.59375,2849886.0,0.8489154265254737
159286.375,157582.140625,157633.203125,171603.328125,167588.28125,159270.328125,156082.875,159920.984375,160652.1875,151227.609375,2866552.0,0.8538798442244531
159003.078125,156079.296875,157516.078125,171649.84375,164036.3125,159089.546875,155484.203125,159987.1875,162833.796875,155729.21875,2883218.0,0.8588442619234324
154988.234375,157144.6875,157294.921875,171093.40625,170219.65625,159634.375,156436.65625,164442.828125,164083.25,155515.421875,2899884.0,0.8638086796224118
154966.78125,159562.625,157750.890625,167374.609375,171918.71875,159740.78125,157365.375,159647.90625,162193.4375,155942.875,2916550.0,0.8687730973213912
157663.8125,158646.234375,157739.09375,171859.5625,169467.921875,159789.8125,156211.453125,158240.828125,164566.0625,151587.8125,2933216.0,0.8737375150203706
158966.65625,158605.359375,157910.15625,170566.453125,168207.53125,159798.703125,141761.375,158660.328125,159081.109375,152490.125,2949882.0,0.8787019327193499
